country,date,unemployment
BE,1989-06,6.8
ES,1989-06,16.2
IT,1989-06,9.8
NL,1989-06,6.7
BE,1989-06,7.4
ES,1989-06,16.4
FR,1989-06,8.7
IT,1989-06,9.8
NL,1989-06,6.7
PT,1989-06,6.1
BE,1989-06,7.4
ES,1989-06,16.4
IT,1989-06,9.8
NL,1989-06,6.7
PT,1989-06,6.1
BE,1989-07,7.1
ES,1989-07,15.9
IT,1989-07,9.7
NL,1989-07,6.0
BE,1989-07,7.3
ES,1989-07,16.2
FR,1989-07,8.7
IT,1989-07,9.8
NL,1989-07,6.7
PT,1989-07,6.1
BE,1989-07,7.3
ES,1989-07,16.2
IT,1989-07,9.7
NL,1989-07,6.7
PT,1989-07,6.1
BE,1989-08,7.6
ES,1989-08,15.9
IT,1989-08,9.7
NL,1989-08,6.1
BE,1989-08,7.2
ES,1989-08,16.2
FR,1989-08,8.7
IT,1989-08,9.7
NL,1989-08,6.6
PT,1989-08,6.0
BE,1989-08,7.2
ES,1989-08,16.1
IT,1989-08,9.7
NL,1989-08,6.6
PT,1989-08,6.0
BE,1989-09,7.6
ES,1989-09,15.8
IT,1989-09,9.6
NL,1989-09,6.4
BE,1989-09,7.1
ES,1989-09,16.0
FR,1989-09,8.7
IT,1989-09,9.6
NL,1989-09,6.5
PT,1989-09,5.8
BE,1989-09,7.1
ES,1989-09,16.0
IT,1989-09,9.6
NL,1989-09,6.5
PT,1989-09,5.9
BE,1989-10,7.3
ES,1989-10,16.1
IT,1989-10,9.5
NL,1989-10,6.5
BE,1989-10,7.0
ES,1989-10,16.1
FR,1989-10,8.7
IT,1989-10,9.4
NL,1989-10,6.5
PT,1989-10,5.7
BE,1989-10,7.0
ES,1989-10,16.1
IT,1989-10,9.4
NL,1989-10,6.5
PT,1989-10,5.7
BE,1989-11,7.2
ES,1989-11,16.1
IT,1989-11,9.4
NL,1989-11,6.4
BE,1989-11,7.0
ES,1989-11,16.1
FR,1989-11,8.7
IT,1989-11,9.4
NL,1989-11,6.4
PT,1989-11,5.8
BE,1989-11,7.0
ES,1989-11,16.1
IT,1989-11,9.3
NL,1989-11,6.4
PT,1989-11,5.8
BE,1989-12,7.1
ES,1989-12,16.2
IT,1989-12,9.3
NL,1989-12,6.0
BE,1989-12,6.9
ES,1989-12,16.1
FR,1989-12,8.6
IT,1989-12,9.3
NL,1989-12,6.4
PT,1989-12,5.9
BE,1989-12,6.9
ES,1989-12,16.1
IT,1989-12,9.3
NL,1989-12,6.4
PT,1989-12,5.9
BE,1990-01,7.0
ES,1990-01,16.1
IT,1990-01,9.3
NL,1990-01,6.6
BE,1990-01,6.8
ES,1990-01,15.9
FR,1990-01,8.6
IT,1990-01,9.1
NL,1990-01,6.3
PT,1990-01,6.0
BE,1990-01,6.8
ES,1990-01,15.9
IT,1990-01,9.2
NL,1990-01,6.3
PT,1990-01,6.0
BE,1990-02,6.8
ES,1990-02,16.1
IT,1990-02,9.1
NL,1990-02,6.8
BE,1990-02,6.7
ES,1990-02,15.8
FR,1990-02,8.5
IT,1990-02,9.0
NL,1990-02,6.3
PT,1990-02,5.9
BE,1990-02,6.7
ES,1990-02,15.7
IT,1990-02,9.1
NL,1990-02,6.3
PT,1990-02,5.9
BE,1990-03,6.6
ES,1990-03,15.8
IT,1990-03,8.9
NL,1990-03,6.7
BE,1990-03,6.7
ES,1990-03,15.6
FR,1990-03,8.5
IT,1990-03,8.9
NL,1990-03,6.2
PT,1990-03,5.7
BE,1990-03,6.7
ES,1990-03,15.6
IT,1990-03,9.0
NL,1990-03,6.2
PT,1990-03,5.7
BE,1990-04,6.3
ES,1990-04,15.7
IT,1990-04,8.7
NL,1990-04,6.3
BE,1990-04,6.6
ES,1990-04,15.6
FR,1990-04,8.5
IT,1990-04,8.9
NL,1990-04,6.2
PT,1990-04,5.4
BE,1990-04,6.6
ES,1990-04,15.6
IT,1990-04,8.9
NL,1990-04,6.2
PT,1990-04,5.5
BE,1990-05,6.1
ES,1990-05,15.4
IT,1990-05,8.9
NL,1990-05,6.1
BE,1990-05,6.6
ES,1990-05,15.6
FR,1990-05,8.4
IT,1990-05,8.9
NL,1990-05,6.1
PT,1990-05,5.4
BE,1990-05,6.6
ES,1990-05,15.6
IT,1990-05,8.9
NL,1990-05,6.1
PT,1990-05,5.5
BE,1990-06,6.0
ES,1990-06,15.2
IT,1990-06,8.9
NL,1990-06,6.1
BE,1990-06,6.6
ES,1990-06,15.5
FR,1990-06,8.4
IT,1990-06,8.9
NL,1990-06,6.1
PT,1990-06,5.6
BE,1990-06,6.6
ES,1990-06,15.4
IT,1990-06,8.9
NL,1990-06,6.1
PT,1990-06,5.6
BE,1990-07,6.4
ES,1990-07,15.0
IT,1990-07,8.7
NL,1990-07,5.5
BE,1990-07,6.6
ES,1990-07,15.3
FR,1990-07,8.4
IT,1990-07,8.8
NL,1990-07,6.0
PT,1990-07,5.7
BE,1990-07,6.6
ES,1990-07,15.3
IT,1990-07,8.8
NL,1990-07,6.0
PT,1990-07,5.7
BE,1990-08,6.8
ES,1990-08,15.0
IT,1990-08,8.7
NL,1990-08,5.6
BE,1990-08,6.5
ES,1990-08,15.3
FR,1990-08,8.3
IT,1990-08,8.8
NL,1990-08,6.0
PT,1990-08,5.8
BE,1990-08,6.5
ES,1990-08,15.3
IT,1990-08,8.8
NL,1990-08,6.0
PT,1990-08,5.8
BE,1990-09,6.8
ES,1990-09,15.1
IT,1990-09,8.8
NL,1990-09,5.9
BE,1990-09,6.4
ES,1990-09,15.3
FR,1990-09,8.3
IT,1990-09,8.8
NL,1990-09,6.0
PT,1990-09,5.8
BE,1990-09,6.4
ES,1990-09,15.3
IT,1990-09,8.8
NL,1990-09,6.0
PT,1990-09,5.8
BE,1990-10,6.7
